transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,merchant_category,merchant_name,transaction_location,account_balance_after_transaction,is_international_transaction,device_used,ip_address,transaction_status,transaction_source_destination,transaction_notes,fraud_flag
2d7ddfd4-1112-4354-a2dd-fad94b45a850,CUST102188,2022-01-04 11:27:00,Bill Payment,2100.0,Dining,"Rattan, Khanna and Magar","Srikakulam, Himachal Pradesh",8211.0,0,Web,31.102.21.141,Success,BCHG80012468703731,Payment for Dining,0
0b4ad8e2-40ac-49c9-b59a-c9efaaccc7a6,CUST102126,2022-01-15 06:54:00,Debit Card,1000.0,Entertainment,Halder-Sarma,"Avadi, Kerala",19268.0,0,ATM,181.62.105.161,Success,TLCG50761416960179,Payment for Entertainment,0
0078974e-4bc0-4add-b0cb-83a1e27c921c,CUST108829,2022-01-21 07:36:00,ATM Withdrawal,3000.0,Utilities,Sinha-Sankar,"Motihari, Sikkim",19560.0,0,ATM,90.38.195.113,Success,Self,Payment for Utilities,0
e8a3993c-5385-4d0e-9bd2-e45d0fbf7e30,CUST100539,2022-01-20 09:08:00,Fund Transfer,2600.0,Online Shopping,Varty-Sibal,"Erode, Nagaland",8644.0,0,Mobile,158.233.103.28,Success,MXPX26123276613011,Payment for Online Shopping,0
cd33c0f2-59fd-4e8a-8523-bb897e29c0b9,CUST100245,2022-01-29 09:24:00,Deposit,9700.0,Travel,Verma-Khare,"Ghaziabad, Meghalaya",45844.0,0,Web,32.128.8.70,Success,Self,Payment for Travel,0
8956156e-e6ad-4a00-b76f-6d3e05354024,CUST110738,2022-01-01 09:13:00,Fund Transfer,100.0,Travel,Mand PLC,"Bokaro, Assam",30999.0,0,POS,243.93.112.66,Success,LECN53071981620570,Payment for Travel,0
74b1cfca-2a53-42de-860a-ed1206f88e28,CUST107527,2022-01-05 17:09:00,Net Banking,700.0,Utilities,"Ahluwalia, Salvi and Grewal","Jaipur, Goa",25226.0,0,Web,132.123.0.185,Success,JWIX67726360559267,Payment for Utilities,0
e2a88841-1287-49c2-a498-6fe3b6e73f44,CUST111858,2022-01-06 14:14:00,Bill Payment,11100.0,Groceries,"Datta, Jaggi and Kar","Rajkot, Meghalaya",23962.0,0,POS,207.145.96.106,Success,FNNT22711778587102,Payment for Groceries,0
e8189aa5-671b-401c-96e4-0d7e9367589c,CUST111844,2022-01-13 09:06:00,Credit Card,10300.0,Online Shopping,Manda and Sons,"Khandwa, West Bengal",18233.0,0,POS,91.236.19.198,Success,BLMJ16161395744759,Payment for Online Shopping,0
66ac8864-183a-4015-b019-dd4dd3abc081,CUST118121,2022-01-24 07:22:00,Fund Transfer,500.0,Dining,"Krishna, Dayal and Kuruvilla","Aurangabad, Sikkim",28462.0,0,ATM,69.22.119.21,Success,UZZI94422196521044,Payment for Dining,0
836a5438-ee5e-4355-b498-1764f0f7b3c1,CUST115692,2022-01-24 02:21:00,Loan Disbursement,12500.0,Dining,Mandal-Thaker,"Haldia, Punjab",7813.0,0,Web,21.133.210.157,Success,IRUG49172739939124,Payment for Dining,0
018618ce-5fc0-422f-a8e4-a916eace49a7,CUST103954,2022-01-23 01:28:00,UPI,3000.0,Utilities,Keer and Sons,"Ballia, Assam",36900.0,0,ATM,59.205.42.49,Success,CEMS77388484404087,Payment for Utilities,0
6bffb07b-f513-4a75-81c5-dfecf0b00a1d,CUST115719,2022-01-25 14:25:00,Net Banking,2000.0,Electronics,Handa Ltd,"Narasaraopet, Rajasthan",26003.0,0,ATM,221.202.138.129,Success,JGUP77620164552044,Payment for Electronics,0
fce2d1cf-9832-42bd-b44a-1292f6ff8ae2,CUST109532,2022-01-23 12:11:00,Net Banking,100.0,Entertainment,Gupta-Cherian,"Arrah, Nagaland",30459.0,0,ATM,112.199.71.87,Success,QMBI48728618900281,Payment for Entertainment,0
