transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,merchant_category,merchant_name,transaction_location,account_balance_after_transaction,is_international_transaction,device_used,ip_address,transaction_status,transaction_source_destination,transaction_notes,fraud_flag
2d7ddfd4-1112-4354-a2dd-fad94b45a850,CUST102188,2022-01-04 11:27:00,Bill Payment,2100.0,Dining,"Rattan, Khanna and Magar","Srikakulam, Himachal Pradesh",8211.0,0,Web,31.102.21.141,Success,BCHG80012468703731,Payment for Dining,0
bfc0dcfd-a598-46f2-985e-035251b1f66d,CUST113867,2022-01-16 02:06:00,ATM Withdrawal,100.0,Healthcare,Kashyap PLC,"Hubli–Dharwad, Sikkim",23376.0,0,Mobile,198.106.251.18,Success,Self,Payment for Healthcare,0
93b4f5db-ce11-47d1-a5ec-fb558871f1a8,CUST115559,2022-01-12 04:57:00,ATM Withdrawal,62781.568029312526,Electronics,Bumb-Kothari,"Sambhal, Maharashtra",0.0,0,Web,126.222.103.69,Failed,Self,Payment for Electronics,1
8ad89baf-5999-4c6d-880e-bac8089fe092,CUST109003,2022-01-25 16:10:00,Deposit,8700.0,Healthcare,Barad and Sons,"Khandwa, Karnataka",32924.0,0,Web,0.34.241.172,Success,Self,Payment for Healthcare,0
595cb0ed-682a-4fef-b5b2-cbdbdedb4fd3,CUST118045,2022-01-16 17:28:00,Credit Card,7400.0,Dining,Chander-Lal,"Shahjahanpur, Jharkhand",0.0,0,POS,83.137.79.234,Success,BFHV23362823349816,Payment for Dining,0
8956156e-e6ad-4a00-b76f-6d3e05354024,CUST110738,2022-01-01 09:13:00,Fund Transfer,100.0,Travel,Mand PLC,"Bokaro, Assam",30999.0,0,POS,243.93.112.66,Success,LECN53071981620570,Payment for Travel,0
74b1cfca-2a53-42de-860a-ed1206f88e28,CUST107527,2022-01-05 17:09:00,Net Banking,700.0,Utilities,"Ahluwalia, Salvi and Grewal","Jaipur, Goa",25226.0,0,Web,132.123.0.185,Success,JWIX67726360559267,Payment for Utilities,0
e2a88841-1287-49c2-a498-6fe3b6e73f44,CUST111858,2022-01-06 14:14:00,Bill Payment,11100.0,Groceries,"Datta, Jaggi and Kar","Rajkot, Meghalaya",23962.0,0,POS,207.145.96.106,Success,FNNT22711778587102,Payment for Groceries,0
e8189aa5-671b-401c-96e4-0d7e9367589c,CUST111844,2022-01-13 09:06:00,Credit Card,10300.0,Online Shopping,Manda and Sons,"Khandwa, West Bengal",18233.0,0,POS,91.236.19.198,Success,BLMJ16161395744759,Payment for Online Shopping,0
be3d6b16-308e-42ab-8586-9be8f6032d20,CUST119109,2022-01-02 22:28:00,Loan Disbursement,10500.0,Financial Services,Gill-Dhingra,"Panvel, Goa",31399.0,0,POS,46.170.49.53,Success,EVPO10597612145394,Payment for Financial Services,0
f12cc555-f909-4f58-a08f-097d632eec5f,CUST107968,2022-01-02 03:54:00,Credit Card,900.0,Entertainment,Hayer and Sons,"Phusro, Chhattisgarh",18204.0,0,ATM,247.24.6.134,Success,NSJY34093484006383,Payment for Entertainment,0
ca72b4d1-2034-4a62-8782-53aeda867f01,CUST111549,2022-01-13 02:37:00,Debit Card,3200.0,Online Shopping,Srivastava-Bahri,"Jalgaon, Assam",18517.0,0,ATM,119.200.193.136,Success,BJPI56646954839646,Payment for Online Shopping,0
279313ed-a580-4272-9da1-62323454d2c3,CUST107828,2022-01-26 13:59:00,ATM Withdrawal,7300.0,Travel,Lalla-Karan,"Bettiah, Tamil Nadu",30594.0,0,POS,88.169.234.33,Success,Self,Payment for Travel,0
1f7212e9-d38b-4740-a0e0-9a983485eadb,CUST118296,2022-01-22 16:00:00,ATM Withdrawal,2200.0,Travel,Sur-Halder,"Sri Ganganagar, Manipur",131.0,0,Web,223.92.158.255,Success,Self,Payment for Travel,0
fce2d1cf-9832-42bd-b44a-1292f6ff8ae2,CUST109532,2022-01-23 12:11:00,Net Banking,100.0,Entertainment,Gupta-Cherian,"Arrah, Nagaland",30459.0,0,ATM,112.199.71.87,Success,QMBI48728618900281,Payment for Entertainment,0
d9a02844-578f-4a3f-b7a1-d27b256bee5d,CUST107358,2022-01-18 03:05:00,Fund Transfer,100.0,Entertainment,Rajagopalan-Chowdhury,"Saharanpur, Jharkhand",22514.0,0,Mobile,63.56.27.117,Success,PIYS89102910513432,Payment for Entertainment,0
da31457e-6207-47f9-abf5-ce96e7652e20,CUST109205,2022-01-04 21:00:00,Credit Card,1000.0,Entertainment,Luthra-Kale,"Bijapur, Punjab",30633.0,0,POS,54.118.223.213,Success,FPAL74686265501821,Payment for Entertainment,0
e8fa8b9c-da86-4ce4-9ee2-fc1db357c189,CUST117481,2022-01-23 02:56:00,Fund Transfer,8400.0,Utilities,Dara and Sons,"Berhampore, Punjab",39597.0,0,POS,199.113.10.8,Success,TEHZ44591335673932,Payment for Utilities,0
4b5c75a8-9b88-4d5e-8cad-3a68f4a4c90f,CUST102992,2022-01-10 17:05:00,Credit Card,6300.0,Healthcare,Kota-Singhal,"Chennai, Jharkhand",1351.0,0,ATM,240.17.132.133,Success,TCQV52423400303368,Payment for Healthcare,0
5f6046f4-59fc-4300-aacd-b44672667d78,CUST108627,2022-01-02 00:40:00,EMI Payment,200.0,Utilities,"Gaba, Majumdar and Tripathi","Raiganj, Punjab",16256.0,0,Web,22.12.199.136,Success,GNQH99140303373101,Payment for Utilities,0
eee47835-453f-4dd4-8432-25e84da76b80,CUST106417,2022-01-19 16:58:00,Loan Disbursement,2400.0,Fuel,Deol-Cheema,"Asansol, Gujarat",28095.0,0,Web,253.161.138.162,Success,XSRZ04762449579788,Payment for Fuel,0
